%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1728033264985133917,711,1728033264984638002,gps,0,1,36.1682136,128.4681339,122.565,0.37088099999999996,0.0,0.0,0.0,0.37088099999999996,0.0,0.0,0.0,0.6146560000000001,2
1728033265085172222,712,1728033265084838734,gps,0,1,36.1682136,128.4681339,122.563,0.37088099999999996,0.0,0.0,0.0,0.37088099999999996,0.0,0.0,0.0,0.616225,2
1728033265189283997,713,1728033265188939604,gps,0,1,36.1682136,128.4681339,122.568,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.616225,2
1728033265285545857,714,1728033265285059188,gps,0,1,36.1682136,128.4681339,122.568,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.616225,2
1728033265385496383,715,1728033265385125529,gps,0,1,36.1682136,128.4681339,122.562,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.616225,2
1728033265486528828,716,1728033265486124756,gps,0,1,36.1682136,128.4681339,122.571,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.616225,2
1728033265584697842,717,1728033265584318625,gps,0,1,36.1682136,128.4681339,122.568,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.616225,2
1728033265685248267,718,1728033265684879373,gps,0,1,36.1682136,128.4681339,122.572,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.616225,2
1728033265785737305,719,1728033265785352812,gps,0,1,36.1682136,128.4681339,122.57300000000001,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.616225,2
1728033265886055268,720,1728033265885684814,gps,0,1,36.1682136,128.4681338,122.575,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.616225,2
1728033265985415919,721,1728033265984977470,gps,0,1,36.1682136,128.4681339,122.574,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.616225,2
1728033266085720255,722,1728033266085353697,gps,0,1,36.1682136,128.4681338,122.571,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.616225,2
1728033266188809676,723,1728033266188455120,gps,0,1,36.1682136,128.4681339,122.57600000000001,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.616225,2
1728033266286085035,724,1728033266285595063,gps,0,1,36.168213699999995,128.4681338,122.57600000000001,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.616225,2
1728033266386188361,725,1728033266385630197,gps,0,1,36.1682136,128.4681338,122.58,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.616225,2
1728033266484707363,726,1728033266484370467,gps,0,1,36.168213699999995,128.4681338,122.57600000000001,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.616225,2
1728033266585545245,727,1728033266585090119,gps,0,1,36.168213699999995,128.4681338,122.57900000000001,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.616225,2
1728033266685798056,728,1728033266685530208,gps,0,1,36.168213699999995,128.4681338,122.581,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.616225,2
1728033266785367381,729,1728033266785028582,gps,0,1,36.168213699999995,128.4681338,122.592,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.616225,2
1728033266885288299,730,1728033266885166005,gps,0,1,36.1682138,128.4681338,122.59100000000001,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.616225,2
1728033266985178317,731,1728033266984996284,gps,0,1,36.1682138,128.4681338,122.589,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.616225,2
1728033267085151227,732,1728033267084863112,gps,0,1,36.1682138,128.4681338,122.592,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.616225,2
1728033267188242344,733,1728033267187977871,gps,0,1,36.1682138,128.4681338,122.593,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.616225,2
1728033267286264315,734,1728033267286016226,gps,0,1,36.1682139,128.46813369999998,122.596,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.616225,2
1728033267385024953,735,1728033267384715982,gps,0,1,36.1682139,128.46813369999998,122.59700000000001,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.616225,2
1728033267485764624,736,1728033267485439911,gps,0,1,36.1682139,128.4681338,122.602,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.617796,2
1728033267585986675,737,1728033267585619657,gps,0,1,36.168214,128.46813369999998,122.605,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.617796,2
1728033267685481753,738,1728033267685117604,gps,0,1,36.168214,128.46813369999998,122.60300000000001,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.617796,2
1728033267785262276,739,1728033267784745928,gps,0,1,36.1682141,128.46813369999998,122.60600000000001,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.617796,2
1728033267886010319,740,1728033267885592510,gps,0,1,36.1682141,128.46813369999998,122.611,0.369664,0.0,0.0,0.0,0.369664,0.0,0.0,0.0,0.617796,2
1728033267984812562,741,1728033267984418081,gps,0,1,36.1682141,128.46813369999998,122.61,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.617796,2
1728033268085189952,742,1728033268084823954,gps,0,1,36.1682141,128.46813369999998,122.613,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.617796,2
1728033268189051572,743,1728033268188599972,gps,0,1,36.1682142,128.46813369999998,122.61500000000001,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.617796,2
1728033268284729116,744,1728033268284256773,gps,0,1,36.1682142,128.46813369999998,122.61800000000001,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.617796,2
1728033268385843627,745,1728033268385270644,gps,0,1,36.1682142,128.4681336,122.623,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.617796,2
1728033268485680512,746,1728033268485309522,gps,0,1,36.168214299999995,128.4681336,122.62,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.617796,2
1728033268585661926,747,1728033268585175485,gps,0,1,36.168214299999995,128.4681336,122.628,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.617796,2
1728033268685536224,748,1728033268685107275,gps,0,1,36.168214299999995,128.4681336,122.62700000000001,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.617796,2
1728033268785881217,749,1728033268785356615,gps,0,1,36.1682144,128.4681336,122.631,0.36844899999999997,0.0,0.0,0.0,0.36844899999999997,0.0,0.0,0.0,0.617796,2
1728033268886495334,750,1728033268885983679,gps,0,1,36.1682144,128.4681336,122.633,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.617796,2
1728033268985169214,751,1728033268984500472,gps,0,1,36.1682144,128.4681336,122.64,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.617796,2
1728033269085844394,752,1728033269085292758,gps,0,1,36.1682144,128.4681336,122.633,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.617796,2
1728033269187846217,753,1728033269187381830,gps,0,1,36.1682144,128.4681336,122.638,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.617796,2
1728033269285656180,754,1728033269285162020,gps,0,1,36.1682144,128.4681336,122.64,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.617796,2
1728033269386248587,755,1728033269385917481,gps,0,1,36.1682145,128.4681336,122.642,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.617796,2
1728033269485771985,756,1728033269485172801,gps,0,1,36.1682145,128.4681336,122.647,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.617796,2
1728033269585757593,757,1728033269585246449,gps,0,1,36.1682145,128.4681335,122.645,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.617796,2
1728033269686143228,758,1728033269685608994,gps,0,1,36.1682146,128.4681335,122.647,0.367236,0.0,0.0,0.0,0.367236,0.0,0.0,0.0,0.617796,2
1728033269785618455,759,1728033269785211853,gps,0,1,36.1682146,128.4681335,122.652,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.617796,2
1728033269886437801,760,1728033269885950349,gps,0,1,36.1682146,128.4681335,122.652,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.617796,2
1728033269985655965,761,1728033269985216534,gps,0,1,36.1682146,128.4681335,122.658,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.617796,2
1728033270084705395,762,1728033270084224763,gps,0,1,36.1682147,128.4681335,122.653,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.617796,2
1728033270188814036,763,1728033270188262493,gps,0,1,36.1682147,128.4681335,122.661,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.617796,2
1728033270285970614,764,1728033270285469984,gps,0,1,36.1682147,128.4681335,122.656,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.617796,2
1728033270385371031,765,1728033270385030697,gps,0,1,36.1682147,128.4681335,122.658,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.617796,2
1728033270485470375,766,1728033270484936467,gps,0,1,36.1682148,128.4681334,122.668,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.617796,2
1728033270586179731,767,1728033270585784908,gps,0,1,36.168214899999995,128.4681334,122.659,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.617796,2
1728033270685442648,768,1728033270685001741,gps,0,1,36.168215,128.4681334,122.678,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.617796,2
1728033270785162943,769,1728033270784689862,gps,0,1,36.1682151,128.4681334,122.666,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.617796,2
1728033270886200224,770,1728033270885626815,gps,0,1,36.1682152,128.4681334,122.676,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.617796,2
1728033270984101940,771,1728033270983560218,gps,0,1,36.1682152,128.4681334,122.68,0.366025,0.0,0.0,0.0,0.366025,0.0,0.0,0.0,0.616225,2
